,Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units
10,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,1.0,domain,1.0,941.0,941.0,17.71467399207846,16.52709883103082,26.574920297555792,26.634431455897982,16.599066110635142,27.00389329890694,26.518599178602386,12.158042775908864,28814.0,11761.400637619554,5471.0,0.7935003224795865,0.8119068162208801,0.1882,micron^3,,,,,,
11,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,1.0,subdomain,2.0,783.0,783.0,16.961629337036168,16.773946360153257,27.860791826309068,26.802043422733078,16.782254074087483,27.98206434226214,26.626560903760755,,28814.0,12345.178799489144,5471.0,,,0.15660000000000002,micron^3,,,,,,
12,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,,overlap,1.0,285.0,285.0,,16.12280701754386,26.768421052631577,29.575438596491228,,,,,,,,,,0.057,micron^3,0.18387096774193548,0.20613171585039466,0.05542584031206374,0.13091988748880512,0.2504043230333846,micron
13,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,0.0,domain,1.0,413.0,413.0,16.512577618286855,20.004842615012105,34.09927360774818,26.48910411622276,19.929588709070256,34.48792968559374,26.004187040386945,9.239542691004052,54631.0,20293.217917675545,9222.0,0.4752994652082365,0.64937106918239,0.0826,micron^3,,,,,,
14,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,0.0,subdomain,2.0,217.0,217.0,10.399716923505148,19.622119815668203,35.354838709677416,23.746543778801843,19.594960900439304,35.45000122445336,23.64368920687811,,54631.0,23334.027649769585,9222.0,,,0.0434,micron^3,,,,,,
15,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,1.0,domain,1.0,1379.0,1379.0,24.045334417729535,19.620014503263235,25.572153734590284,24.076867295141408,19.43883176549688,26.175367402831334,24.319940585838125,13.809836853805137,24586.0,7568.215373459028,3658.0,0.582964714401199,0.7035714285714286,0.2758,micron^3,,,,,,
16,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,1.0,subdomain,2.0,477.0,477.0,13.536150363404639,18.61215932914046,31.67505241090147,24.22222222222222,18.500353799273125,31.55242818415658,24.48277398299305,,24586.0,8526.788259958072,3658.0,,,0.0954,micron^3,,,,,,
17,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,1.0,subdomain,3.0,494.0,494.0,12.968047554268262,19.678137651821864,23.502024291497975,26.672064777327936,19.5894125192657,23.860936303113853,26.62134743849697,,17898.0,7666.338056680162,3744.0,,,0.0988,micron^3,,,,,,
18,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,1.0,subdomain,4.0,213.0,213.0,9.077055005377375,21.291079812206572,23.483568075117372,19.28638497652582,21.22912236026837,23.429656198619107,19.34365983284779,,13234.0,6733.0610328638495,3664.0,,,0.0426,micron^3,,,,,,
19,20181123_RI510_ESC_101_102a_SIR_2C_ALN_THR_32.ome.tiff,,overlap,1.0,169.0,169.0,,19.597633136094675,32.52662721893491,25.076923076923077,,,,,,,,,,0.033800000000000004,micron^3,0.10412815773259397,0.06736985818195279,0.3325024913104963,0.06134461794667212,0.3447604482393047,micron
20,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,0.0,domain,1.0,3056.0,3056.0,26.976275699943095,18.640379581151834,22.330497382198953,26.24280104712042,18.3894612540997,22.003847598883162,26.754647848706202,18.00465936280154,33012.0,9530.830170157067,4722.0,0.5054091668226991,0.6069513406156901,0.6112000000000001,micron^3,,,,,,
21,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,0.0,subdomain,2.0,1265.0,1265.0,15.897997803109334,16.599209486166007,21.03715415019763,28.93913043478261,16.919145537776828,20.98711318970664,29.005401663844886,,33012.0,11772.247430830039,4722.0,,,0.253,micron^3,,,,,,
22,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,0.0,subdomain,3.0,410.0,410.0,13.086254740618553,18.582926829268292,28.41951219512195,29.526829268292683,18.59166631646481,28.31616952011139,29.536779039438333,,16433.0,8705.780487804877,4897.0,,,0.082,micron^3,,,,,,
23,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,0.0,subdomain,4.0,523.0,523.0,14.334725910311453,19.717017208413,18.91778202676864,18.92925430210325,19.75239617957486,18.758293854603135,19.00979063652201,,18196.0,8635.479923518164,4858.0,,,0.1046,micron^3,,,,,,
24,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,0.0,subdomain,5.0,471.0,471.0,12.287425567876898,22.743099787685775,26.558386411889597,22.29299363057325,22.643322730157106,26.498327007068525,22.541506088787752,,12988.0,7307.295116772823,4836.0,,,0.0942,micron^3,,,,,,
25,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,1.0,domain,1.0,2899.0,2899.0,27.292461525278473,18.75991721283201,34.423249396343564,26.693687478440843,18.718710965040096,34.292864830896036,26.77887792422431,17.69089742340285,23676.0,9686.028630562263,4831.0,0.6480909010950248,0.7833018103215347,0.5798,micron^3,,,,,,
26,20190407_RI510_ESC_32_33_SIR_2C_ALN_THR_19.ome.tiff,1.0,subdomain,2.0,439.0,439.0,15.051494976661965,16.68337129840547,43.08883826879271,25.28018223234624,16.651659719117934,42.991279160624664,25.281645266762855,,18073.0,9401.719817767655,4967.0,,,0.0878,micron^3,,,,,,
