,Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units
0,20200202_RI512_RAD21-AID_AUX-CTL_121a_121b_SIR_2C_ALN_THR_31.ome.tiff,1.0,domain,1.0,1048.0,1048.0,18.530244885207146,40.69083969465649,9.562022900763358,13.65648854961832,40.50353151740668,9.247214112872566,13.649336635379253,12.602427860705838,40178.0,12812.243320610687,5376.0,0.43623362771704377,0.5336048879837068,0.2096,micron^3,,,,,,
1,20200202_RI512_RAD21-AID_AUX-CTL_121a_121b_SIR_2C_ALN_THR_31.ome.tiff,1.0,subdomain,2.0,259.0,259.0,12.865473799771067,39.84942084942085,14.656370656370656,12.293436293436294,39.70595865235123,14.291086670322594,12.211219621248455,,30340.0,12123.96138996139,5888.0,,,0.051800000000000006,micron^3,,,,,,
2,20200202_RI512_RAD21-AID_AUX-CTL_121a_121b_SIR_2C_ALN_THR_31.ome.tiff,1.0,subdomain,3.0,321.0,321.0,12.681263447071263,40.03738317757009,7.426791277258567,16.514018691588785,39.874281984066634,7.587482245591885,16.203266196221822,,40178.0,15199.595015576324,5376.0,,,0.06420000000000001,micron^3,,,,,,
3,20200202_RI512_RAD21-AID_AUX-CTL_121a_121b_SIR_2C_ALN_THR_31.ome.tiff,1.0,subdomain,4.0,278.0,278.0,10.26422717434217,42.18345323741007,6.528776978417266,10.420863309352518,41.88432699557218,6.5873993313469,10.755584552761613,,33392.0,13731.028776978417,6263.0,,,0.055600000000000004,micron^3,,,,,,
4,20200720_RI512_RAD21-AID_AUX-CTL_141b_141a_SIR_2C_ALN_THR_79.ome.tiff,1.0,domain,1.0,493.0,493.0,19.543719450046353,28.81744421906694,31.864097363083165,27.288032454361055,28.815357231224873,31.801714933260797,27.331908564325563,9.801279311441096,34800.0,15182.466531440163,6395.0,0.5322912932597594,0.6653171390013495,0.09860000000000001,micron^3,,,,,,
5,20200720_RI512_RAD21-AID_AUX-CTL_141b_141a_SIR_2C_ALN_THR_79.ome.tiff,1.0,subdomain,2.0,271.0,271.0,12.573411246226438,29.018450184501845,29.173431734317344,29.18819188191882,28.956621955043815,29.184124159068453,29.244231727304463,,32803.0,15591.236162361623,6395.0,,,0.054200000000000005,micron^3,,,,,,
6,20200720_RI512_RAD21-AID_AUX-CTL_141b_141a_SIR_2C_ALN_THR_79.ome.tiff,1.0,subdomain,3.0,212.0,212.0,11.773219984392343,28.38679245283019,35.43867924528302,24.985849056603772,28.52904353884893,35.36001149091468,24.85962531050354,,34800.0,14974.915094339623,6595.0,,,0.0424,micron^3,,,,,,
7,20200721_RI512_RAD21-AID_AUX-CTL_102a_101_SIR_2C_ALN_THR_47.ome.tiff,0.0,domain,1.0,1154.0,1154.0,19.032261160608503,41.12391681109185,24.32409012131716,34.77642980935875,41.31926975540974,24.301428956592073,35.07962415834417,13.013748082754725,17164.0,5846.335355285962,2613.0,0.5764971094214117,0.6682107701215981,0.2308,micron^3,,,,,,
8,20200721_RI512_RAD21-AID_AUX-CTL_102a_101_SIR_2C_ALN_THR_47.ome.tiff,0.0,subdomain,2.0,438.0,438.0,12.98430399518453,41.1986301369863,20.477168949771688,36.92465753424658,41.33851593446444,20.690474732979165,37.00412503022,,13427.0,5892.858447488585,2613.0,,,0.0876,micron^3,,,,,,
9,20200721_RI512_RAD21-AID_AUX-CTL_102a_101_SIR_2C_ALN_THR_47.ome.tiff,0.0,subdomain,3.0,639.0,639.0,15.9662049755228,41.16431924882629,26.49921752738654,33.85602503912363,41.37519968452551,26.40616283535273,34.16489031849005,,17164.0,6071.784037558686,2637.0,,,0.1278,micron^3,,,,,,
