on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_48,0.0668,0.890883524,0.830154591,2,0.0311,0.014061208,0.737080238
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_49,0.0662,0.834665639,0.853656207,1,0.0662,0.16957606,0.502404309
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_4,0.0854,1.009915119,0.704006933,2,0.0414,0.077102804,0.397973557
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_50,0.1812,1.283567371,0.656754121,5,0.029,0.170466884,0.319804932
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_51,0.2342,1.553372061,0.535278746,9,0.020755556,0.198871038,0.04217785
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_53,0.0906,0.925023793,0.799994064,1,0.0906,0.053144376,0.30183889
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_54,0.1818,1.488185817,0.595529235,5,0.0328,0.091319053,0.370319614
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_55,0.2268,1.584806386,0.587438658,6,0.0316,0.153040677,0.37381642
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_56,0.121,1.155636247,0.696407995,3,0.037333333,0.10419828,0.272452886
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_57,0.1066,1.190776496,0.778111699,3,0.027133333,0.097916667,0.337714658
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_58,0.1096,1.019448894,0.779978188,4,0.02265,0.201725282,0.200714909
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_59,0.1082,1.169629884,0.705335289,3,0.031466667,0.14696814,0.2118784
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_5,0.1206,1.223824473,0.668019867,4,0.0273,0.208664898,0.250312598
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_60,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_61,0.081,0.88653593,0.805043477,1,0.081,0.023662551,0.450878349
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_63,0.1096,1.179057482,0.6960515,3,0.0334,0.280991736,0.109405741
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_6,0.1346,1.093305925,0.769884642,3,0.038066667,0.065820777,0.275347623
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_8,0.0796,0.925498439,0.796671018,2,0.0368,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_11,0.171,1.279588286,0.668898483,4,0.0401,0.08137045,0.475973704
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_12,0.1356,1.231239613,0.627969618,5,0.02336,0.36315229,0.009425364
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_13,0.1906,1.434381649,0.619133417,5,0.03172,0.082207868,0.240471261
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_15,0.269,1.828126468,0.515873145,6,0.039533333,NaN,NaN
