on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_63,0.3124,1.551692663,0.756794105,3,0.093333333,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_64,0.165,1.313783281,0.8988675,2,0.0754,0.130246914,0.393717411
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_65,0.0914,1.053805524,0.880522193,2,0.0439,0.079572447,0.329131364
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_66,0.2604,1.479525507,0.771065722,5,0.04184,0.087062257,0.42478278
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_67,0.7188,2.179687227,0.475764076,12,0.051016667,0.250759878,0.141051438
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_68,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_69,0.1498,1.229859945,0.841473513,2,0.0692,0.170825336,0.272445922
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_6,0.2282,1.301823142,0.711722271,4,0.05045,0.139716659,0.333958637
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_70,0.5938,1.978090411,0.577473893,11,0.042854545,0.157151442,0.411790445
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_71,0.0766,1.092413083,0.84454247,2,0.0374,0.167929293,0.183956312
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_72,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_76,0.1494,1.179861673,0.781311413,3,0.0444,0,0.741871071
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_77,0.4624,1.931121354,0.558031661,10,0.03864,0.140709561,0.268846127
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_78,0.1588,1.297401903,0.862196605,1,0.1588,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_79,0.1668,1.330040879,0.752891467,3,0.051133333,0.041590214,0.423050493
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_7,0.244,1.551519963,0.697580929,2,0.1122,0.183238636,0.274988924
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_80,0.2974,1.64249758,0.680171699,2,0.1381,0.026939155,0.438020877
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_81,0.14,1.082487161,0.688097549,3,0.041933333,0.068134893,0.497194867
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_82,0.1258,1.156672576,0.698987974,2,0.0549,0.020408163,0.555774859
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_83,0.0924,0.985053939,0.739336025,3,0.027266667,0.121019108,0.372767064
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_84,0.1,0.979420764,0.794095411,2,0.0465,0.10323089,0.272438457
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_85,0.0666,0.848017029,0.798162829,2,0.0306,0,0.672343827
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_86,0.1796,1.457068393,0.618694454,3,0.0544,0.0521251,0.349331607
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_87,0.0428,0.782360792,0.814236981,1,0.0398,0.091511936,0.237987516
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_88,0.0914,0.931920567,0.771206653,1,0.0914,0,0.589896982
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_89,0.1154,1.219161667,0.705868146,2,0.0552,0.029948868,0.88432597
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_8,0.1968,1.418625194,0.76436564,2,0.0928,0.373770492,0.317957954
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_90,0.0998,1.263078563,0.662139087,3,0.0314,0,0.646606959
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_91,0.1714,1.308125785,0.676459399,3,0.051333333,0.009378664,0.680974276
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_93,0.0946,1.147211993,0.688677746,1,0.0814,0.071887035,0.328444131
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_94,0.2214,1.3920537,0.642791562,3,0.0656,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_95,0.1176,1.156338282,0.736598676,3,0.0328,0,1.016219336
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_96,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_98,0.1012,0.996208352,0.816647831,2,0.0472,0.079033312,0.558957078
20200304_RI510_ESC_TSA-CTL_101_102a_SIR_2C_ALN_THR_9,0.1166,1.078383055,0.867419984,1,0.1166,0.278599222,0.276927593
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_100,0.1124,1.149196354,0.891314196,1,0.1124,0.208894879,0.079161778
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_101,0.1192,1.124194659,0.787345569,1,0.1104,0.107076923,0.276188994
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_102,0.1258,1.198456965,0.763491109,2,0.0575,0.02738811,0.372214763
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_103,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_104,0.1386,1.212868704,0.77629058,2,0.0599,0.152790485,0.238657243
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_106,0.27,1.444192593,0.688729424,4,0.05775,0.230263158,0.246605385
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_107,0.3134,1.587779964,0.600075518,7,0.036257143,0.083333333,0.392756378
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_108,0.1212,1.231207923,0.82570666,1,0.1126,0.15055159,0.298294065
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_109,0.1692,1.228393463,0.735849276,3,0.047933333,0.3026534,0.25322019
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_110,0.2144,1.447335421,0.745304193,5,0.03592,0.130899937,0.506408232
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_11,0.141,1.249220739,0.858644531,2,0.0659,0.067590988,0.327975245
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_12,0.353,1.694784581,0.638978241,8,0.036325,0.128805621,0.333214201
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_14,0.2592,1.570446664,0.715839603,5,0.0414,0.098721904,0.323130832
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_15,0.208,1.497273221,0.791079349,4,0.0441,0.070194384,0.364353405
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_16,0.2248,1.40823005,0.800202378,3,0.066933333,0.181635389,0.242134167
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_19,0.1456,1.223475948,0.829966192,3,0.043333333,0.114437791,0.365835951
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_20,0.175,1.265282888,0.712183823,4,0.039,0.103971963,0.359693034
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_22,0.1336,1.34491447,0.752950632,3,0.039733333,0.014896373,0.596740725
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_27,0.1634,1.273182212,0.756944791,4,0.0357,0.01179444,0.368268789
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_28,0.1742,1.310999515,0.76755163,3,0.051733333,0.245880862,0.282410492
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_29,0.1612,1.36221172,0.684536769,3,0.048066667,0.227746592,0.316035581
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_31,0.1404,1.245847754,0.862934917,2,0.06,0.201767305,0.413918331
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_32,0.2782,1.678447476,0.680455761,5,0.04844,0.04827062,0.435493908
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_33,0.1956,1.285135323,0.794963231,3,0.059866667,0.029868578,0.493498732
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_34,0.1372,1.30802869,0.773762049,3,0.037133333,0,0.84498872
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_36,0.1776,1.295461203,0.785735428,5,0.02828,0.08976378,0.578500245
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_38,0.266,1.491650927,0.695703705,6,0.035166667,0.379688402,0.145240708
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_40,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_42,0.1242,1.250694046,0.781653667,1,0.1098,0.071117562,0.239359581
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_43,0.1614,1.298270642,0.775295628,2,0.0746,0.138049451,0.307886001
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_45,0.281,1.702968742,0.648674172,5,0.048,0.130982368,0.325631765
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_46,0.2358,1.49019586,0.732207502,6,0.029033333,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_48,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_4,0.1652,1.272885003,0.837104838,2,0.0786,0.046799725,0.504181035
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_50,0.1754,1.337786072,0.719298493,3,0.053133333,0.122972973,0.538286075
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_51,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_55,0.1908,1.490930679,0.679114776,4,0.0428,0.175980975,0.480005077
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_56,0.143,1.168136779,0.770169543,2,0.0664,0.052871468,0.351308091
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_57,0.1928,1.267453339,0.718061005,3,0.056933333,0.331536388,0.209466462
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_58,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_59,0.1116,1.033546341,0.846825068,1,0.1064,0.029304029,0.461654944
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_5,0.268,1.618847253,0.646957645,4,0.058,0.119218911,0.377193872
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_60,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_61,0.0512,0.823206514,0.908377142,1,0.0512,0.139585605,0.263764385
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_62,0.12,1.197172382,0.745212508,2,0.0559,0.14961307,0.271742162
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_63,0.1376,1.092259345,0.818636899,2,0.0606,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_64,0.2122,1.420862443,0.738967734,2,0.0967,0.297897898,0.287423734
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_65,0.1316,1.133008836,0.796831266,2,0.0627,0.149267399,0.356540425
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_66,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_67,0.1984,1.370077191,0.677618517,4,0.04365,0.136245111,0.258991084
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_68,0.1448,1.235836634,0.744745051,4,0.0318,0.149295775,0.326106429
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_69,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_6,0.2368,1.53611418,0.811596929,4,0.04885,0.157045313,0.217988369
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_70,0.1662,1.394259424,0.684193142,3,0.048066667,0.222723174,0.443181475
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_71,0.1156,1.085110651,0.749113629,2,0.0545,0.056818182,0.459186747
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_72,0.1364,1.28657663,0.671227533,3,0.0426,0.174693107,0.308293249
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_73,0.1156,1.130663712,0.744897487,2,0.0539,0.326530612,0.18739919
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_74,0.0926,1.062965078,0.868159715,1,0.0816,0.076716016,0.24327468
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_75,0.1406,1.337962466,0.656442819,4,0.03,0.09314587,0.292101149
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_77,0.203,1.328934321,0.598896547,7,0.023942857,0.216507177,0.195517055
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_79,0.0828,1.04116255,0.841875028,1,0.0774,0.096575944,0.328744476
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_80,0.1112,1.113850786,0.810758982,2,0.051,0.314079422,0.213794882
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_81,0.1482,1.245760837,0.730722927,3,0.044066667,0.040816327,0.443939937
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_83,0.1518,1.30311816,0.664869115,3,0.045066667,0.23524069,0.21652192
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_84,0.1138,1.094093554,0.704584404,2,0.0555,0.054913295,0.422213912
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_86,0.1766,1.207877157,0.789409968,3,0.053133333,0.245356037,0.303565774
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_87,0.1712,1.242997191,0.722217062,2,0.083,0.188764045,0.18754371
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_88,0.1618,1.216044141,0.785646071,4,0.0342,0.127425614,0.148752797
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_89,0.196,1.400662007,0.747733431,4,0.04305,0.268334281,0.186091944
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_8,0.0884,1.024252945,0.917581535,1,0.0884,0.104712042,0.318238396
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_90,0.3296,1.601766103,0.61582258,6,0.0443,0.167883212,0.441738438
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_91,0.2044,1.490831153,0.613016193,4,0.04385,0.086376812,0.350379817
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_92,0.1586,1.18565569,0.793419466,3,0.0462,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_93,0.1752,1.378028717,0.688578964,3,0.0536,0.066476054,0.54535754
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_94,0.1018,1.06049449,0.874843736,1,0.1018,0.066551426,0.364537447
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_95,0.2904,1.66505571,0.716073524,6,0.0392,0.221261884,0.153211221
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_96,0.2516,1.630018804,0.641075659,6,0.0345,NaN,NaN
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_97,0.2648,1.527976114,0.645796515,5,0.0436,0.00148002,0.771535624
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_98,0.14,1.254281004,0.80909143,2,0.0651,0.275289017,0.294770194
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_99,0.1352,1.25959606,0.804164327,2,0.0602,0.05730659,0.405094438
20200304_RI510_ESC_TSA-CTL_101_103_SIR_2C_ALN_THR_9,0.1624,1.235963732,0.77639718,3,0.048733333,0.096137339,0.483085697
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_100,0.067,0.893482957,0.907251955,1,0.067,0.194524496,0.217516992
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_101,0.121,1.247998861,0.808625287,2,0.0579,0.5,0.062745346
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_102,0.1978,1.393653254,0.851563554,2,0.0891,0.40637776,0.106880588
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_103,0.1492,1.1347006,0.792248913,4,0.03055,0.195721078,0.286229099
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_104,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_106,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_107,0.2594,1.572092418,0.690769668,5,0.04288,0.278100264,0.239534334
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_108,0.1274,1.248388366,0.760423504,2,0.0622,0.180652681,0.214257971
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_109,0.1712,1.334514827,0.732702206,4,0.0337,0.292947559,0.255286916
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_110,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_111,0.1284,1.277522769,0.865630845,1,0.1126,0.08968254,0.442392797
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_112,0.1772,1.378100516,0.784183119,2,0.0856,0.230818827,0.170200816
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_114,0.3046,1.724292839,0.651852522,3,0.091866667,0.17900656,0.288206117
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_115,0.2704,1.619066244,0.808175386,3,0.081,0.240182648,0.2852763
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_11,0.1696,1.326461918,0.766203657,3,0.050733333,0.081157375,0.572768891
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_13,0.1458,1.33894788,0.759657426,2,0.0653,0.31758794,0.091312038
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_14,0.172,1.347901216,0.806974446,3,0.049666667,0.336388634,0.126548127
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_15,0.127,1.243276627,0.731820388,2,0.0608,0.003426613,0.75718274
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_16,0.1638,1.284495116,0.828270524,2,0.0744,0.018396846,0.449304513
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_18,0.1564,1.282792601,0.788633262,2,0.0728,0.055220017,0.37309235
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_1,0.1098,1.167961034,0.729179964,3,0.031066667,0.042553191,0.273144806
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_20,0.3872,2.003455386,0.502297186,9,0.036155556,0.185542169,0.20946937
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_21,0.2336,1.507717142,0.700950625,5,0.04072,0.263306908,0.334744283
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_23,0.1102,1.11898087,0.846489739,2,0.0503,0.324571429,0.138757577
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_27,0.0962,1.182387578,0.94148508,1,0.0962,0.058720421,0.271508927
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_28,0.2132,1.491227299,0.830713732,1,0.2132,NaN,NaN
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_29,0.0984,1.056163395,0.912114152,3,0.026866667,0.469496021,0.109152399
20200304_RI510_ESC_TSA-CTL_102b_102a_SIR_2C_ALN_THR_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
