Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,0.0,domain,1.0,624.0,624.0,23.161890450989056,5.705128205128205,32.982371794871796,19.03525641025641,5.737408873740941,33.15799020947202,18.421235235015125,10.602183642547542,43994.0,14721.84294871795,6713.0,0.6986421031676806,0.7384615384615385,0.12480000000000001,micron^3,,,,,,,ch-0_domain_label-1
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,0.0,subdomain,2.0,278.0,278.0,13.12567935540007,5.453237410071942,31.823741007194243,23.848920863309353,5.502784333910123,31.668847968088095,23.79685170197948,,25682.0,12747.323741007194,7337.0,,,0.055600000000000004,micron^3,,,,,,,ch-0_subdomain_label-2
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,0.0,subdomain,3.0,346.0,346.0,12.726441381377123,5.907514450867052,33.91329479768786,15.167630057803468,5.88475960156479,34.09321289870724,15.04519878341368,,43994.0,16308.306358381504,6713.0,,,0.0692,micron^3,,,,,,,ch-0_subdomain_label-3
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,domain,1.0,1049.0,1049.0,41.473859573165896,6.073403241182078,32.2602478551001,27.258341277407055,6.08185580932148,33.116280160668,26.548597005858493,12.606434992251144,30469.0,11034.959008579599,4924.0,0.35689730000315056,0.46170774647887325,0.20980000000000001,micron^3,,,,,,,ch-1_domain_label-1
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,2.0,61.0,61.0,6.816409516366761,4.950819672131147,30.081967213114755,28.262295081967213,4.941363400683766,30.126488649804756,28.20667522724695,,12241.0,8094.0327868852455,5564.0,,,0.0122,micron^3,,,,,,,ch-1_subdomain_label-2
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,3.0,208.0,208.0,11.270311304729605,5.072115384615385,30.98076923076923,37.36538461538461,5.041467039950679,31.06121984485911,37.480127693535515,,29708.0,11385.432692307691,5126.0,,,0.041600000000000005,micron^3,,,,,,,ch-1_subdomain_label-3
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,4.0,65.0,65.0,6.686810373007514,5.892307692307693,20.276923076923076,42.646153846153844,5.900880601516416,20.18381460725383,42.63052611644561,,15486.0,8773.723076923077,5573.0,,,0.013000000000000001,micron^3,,,,,,,ch-1_subdomain_label-4
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,5.0,74.0,74.0,8.393207874134234,5.6891891891891895,23.95945945945946,27.945945945945947,5.686851900526534,23.8962939096667,27.900987782026608,,12829.0,7968.986486486487,5633.0,,,0.0148,micron^3,,,,,,,ch-1_subdomain_label-5
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,6.0,216.0,216.0,10.32278189072021,5.837962962962963,35.032407407407405,25.61574074074074,5.839677900270705,35.22824512534819,25.28498450311899,,29882.0,11800.462962962964,4950.0,,,0.0432,micron^3,,,,,,,ch-1_subdomain_label-6
20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,7.0,340.0,340.0,15.117944771592288,6.864705882352941,36.95,18.570588235294117,6.810305412674911,37.041915465312364,18.71661524032546,,30469.0,12838.655882352941,4924.0,,,0.068,micron^3,,,,,,,ch-1_subdomain_label-7
